schema_version,analysis_class,split_order,split_name,method_order,method,label_order,ec_level_2,sequence_count_display,sequence_count,component_count_display,component_count,class_precision,class_recall,class_f1,class_f1_ci_lower,class_f1_ci_upper,dominant_wrong_label,dominant_wrong_count,random_minus_cluster30_class_f1,gap_ci_lower,gap_ci_upper,reporting_status
1,confirmatory,1,cluster70,5,esm2-35m,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,5,esm2-35m,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,5,esm2-35m,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,5,esm2-35m,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,6,esm2-150m,0,2.7,29,29,28,28,0.848484848484849,0.96551724137931,0.903225806451613,0.808510638297872,0.967741935483871,2.1,1,NA,NA,NA,reportable
1,confirmatory,1,cluster70,6,esm2-150m,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,6,esm2-150m,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,6,esm2-150m,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,6,esm2-150m,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,0,majority,0,2.7,29,29,28,28,0.439393939393939,1,0.610526315789474,0.473118279569892,0.727272727272727,NA,0,NA,NA,NA,reportable
1,confirmatory,2,cluster50,0,majority,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,0,majority,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,0,majority,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,0,majority,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,1,length-logistic,0,2.7,29,29,28,28,1,0.068965517241379,0.129032258064516,0,0.363847780126849,2.1,15,NA,NA,NA,reportable
1,confirmatory,2,cluster50,1,length-logistic,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,1,length-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,1,length-logistic,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,1,length-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,aac-logistic,0,2.7,29,29,28,28,0.555555555555556,0.344827586206897,0.425531914893617,0.227272727272727,0.596578947368421,1.1,9,NA,NA,NA,reportable
1,confirmatory,2,cluster50,2,aac-logistic,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,aac-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,aac-logistic,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,aac-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,kmer3-logistic,0,2.7,29,29,28,28,0.5,0.689655172413793,0.579710144927536,0.419354838709677,0.714329805996472,2.1,4,NA,NA,NA,reportable
1,confirmatory,2,cluster50,3,kmer3-logistic,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,kmer3-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,kmer3-logistic,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,kmer3-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
