schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status,comparison_split,difference_direction,difference,difference_ci_lower,difference_ci_upper,resampling
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,1,length-logistic,2,macro_f1,66,66,60,60,0.189382173382173,0.092105152587351,0.278884550597508,2000,2026,reportable,cluster30,random_minus_comparison,-0.018696594185956,-0.147899060407134,0.11610046623653,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,2,aac-logistic,0,accuracy,66,66,60,60,0.318181818181818,0.202898550724638,0.4375,2000,2026,reportable,cluster30,random_minus_comparison,-0.03030303030303,-0.188578276562148,0.139789601079924,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,2,aac-logistic,1,balanced_accuracy,66,66,60,60,0.243987621573829,0.143460813492063,0.361770687441643,2000,2026,reportable,cluster30,random_minus_comparison,0.01829080880805,-0.149757741729935,0.184850250779686,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,2,aac-logistic,2,macro_f1,66,66,60,60,0.245714285714286,0.150494956603331,0.341173905351614,2000,2026,reportable,cluster30,random_minus_comparison,-0.00935865255193,-0.147184234361486,0.122094345612041,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,0,accuracy,66,66,60,60,0.515151515151515,0.378787878787879,0.646153846153846,2000,2026,reportable,cluster30,random_minus_comparison,-0.03030303030303,-0.20630916185264,0.148329326923077,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,1,balanced_accuracy,66,66,60,60,0.419398130605027,0.291109318996416,0.540796034203155,2000,2026,reportable,cluster30,random_minus_comparison,-0.009733274388447,-0.170714206052568,0.158080802262254,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,3,kmer3-logistic,2,macro_f1,66,66,60,60,0.38857500226593,0.254360877684407,0.507990181565279,2000,2026,reportable,cluster30,random_minus_comparison,-0.030994363886897,-0.192660279030919,0.143551057367349,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,4,nearest-homolog,0,accuracy,66,66,60,60,0.53030303030303,0.399926470588235,0.65673686362707,2000,2026,reportable,cluster30,random_minus_comparison,0.045454545454546,-0.126305708180708,0.221928904428904,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,4,nearest-homolog,1,balanced_accuracy,66,66,60,60,0.31965811965812,0.242838345864662,0.405,2000,2026,reportable,cluster30,random_minus_comparison,0.046153846153846,-0.073669642857143,0.167176406926407,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,4,nearest-homolog,2,macro_f1,66,66,60,60,0.306747335061942,0.197536461388074,0.399673275383028,2000,2026,reportable,cluster30,random_minus_comparison,0.062324420056325,-0.079573502113239,0.198734089736153,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,5,esm2-35m,0,accuracy,66,66,60,60,0.742424242424242,0.630769230769231,0.848541383989145,2000,2026,reportable,cluster30,random_minus_comparison,0.075757575757576,-0.069298286325825,0.22416223501262,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,5,esm2-35m,1,balanced_accuracy,66,66,60,60,0.70956275525241,0.573473126836267,0.826799603174603,2000,2026,reportable,cluster30,random_minus_comparison,0.078844048671635,-0.090996961371961,0.261163131313131,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,5,esm2-35m,2,macro_f1,66,66,60,60,0.713123522157735,0.570979716626775,0.820175211489278,2000,2026,reportable,cluster30,random_minus_comparison,0.084148885284164,-0.081744165753368,0.261043566772733,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,6,esm2-150m,0,accuracy,66,66,60,60,0.818181818181818,0.714285714285714,0.907727272727272,2000,2026,reportable,cluster30,random_minus_comparison,-0.015151515151515,-0.153886946386946,0.117682072829131,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,6,esm2-150m,1,balanced_accuracy,66,66,60,60,0.791184581701823,0.636342894355668,0.902440559440559,2000,2026,reportable,cluster30,random_minus_comparison,-0.011813186813187,-0.181909946600736,0.180573412698413,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,6,esm2-150m,2,macro_f1,66,66,60,60,0.780019165560961,0.613971347341354,0.885665204293588,2000,2026,reportable,cluster30,random_minus_comparison,0.003631628089832,-0.157047893221607,0.181586292585315,independent_component_bootstrap
