schema_version,analysis_class,diagnostic_order,diagnostic,split_order,split_name,method_a,method_b,metric_order,metric,accuracy_difference,balanced_accuracy_difference,macro_f1_difference,signs_agree,direction,primary_seed,diagnostic_seed,maximum_lower_shift,maximum_upper_shift,maximum_width_shift,reporting_status
1,confirmatory,55,bootstrap_seed_method_difference,1,cluster70,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.00550478878821,0.005690377365312,0.007296615487266,reportable
1,confirmatory,56,class_balance_method_difference,1,cluster70,esm2-150m,aac-logistic,NA,NA,0.454545454545455,0.42948612689992,0.464399114546266,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,57,bootstrap_seed_method_difference,1,cluster70,esm2-150m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.01407249466951,0.008756392860871,0.007778788375803,reportable
1,confirmatory,58,bootstrap_seed_method_difference,1,cluster70,esm2-150m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.007671717171717,0.006785583396757,0.012924320351875,reportable
1,confirmatory,59,bootstrap_seed_method_difference,1,cluster70,esm2-150m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.002274841373866,0.006645572837505,0.005288775079224,reportable
1,confirmatory,60,class_balance_method_difference,1,cluster70,esm2-150m,kmer3-logistic,NA,NA,0.378787878787879,0.375772599048461,0.389457104249324,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,61,bootstrap_seed_method_difference,1,cluster70,esm2-150m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.003937697874265,0.007692307692308,0.011630005566573,reportable
1,confirmatory,62,bootstrap_seed_method_difference,1,cluster70,esm2-150m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.001207594250536,0.002868071527301,0.003714046744122,reportable
1,confirmatory,63,bootstrap_seed_method_difference,1,cluster70,esm2-150m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.008986202181354,0.001729244038999,0.010715446220353,reportable
1,confirmatory,64,class_balance_method_difference,1,cluster70,esm2-150m,esm2-35m,NA,NA,0.075757575757576,0.066296155951328,0.072223826774111,true,positive,2026,NA,NA,NA,NA,reportable
