schema_version,analysis_class,split_order,split_name,method_order,method,metric_order,metric,removal_order,removal_count,removed_sequence_count,remaining_sequence_count_display,remaining_sequence_count,remaining_component_count_display,remaining_component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,1,cluster70,4,nearest-homolog,1,balanced_accuracy,2,3,5,61,61,61,61,0.403296703296703,0.286347402597403,0.528916666666666,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,1,balanced_accuracy,3,5,7,59,59,59,59,0.411688311688312,0.293329545454545,0.54,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,2,macro_f1,0,0,0,66,66,64,64,0.461984126984127,0.305857195436143,0.573846572256505,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,2,macro_f1,1,1,2,64,64,63,63,0.447438672438672,0.288493481435127,0.562850700280112,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,2,macro_f1,2,3,5,61,61,61,61,0.432222222222222,0.264091760299625,0.558378323383225,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,2,macro_f1,3,5,7,59,59,59,59,0.446398046398046,0.276849238223077,0.563935267089292,reportable
1,confirmatory,1,cluster70,5,esm2-35m,0,accuracy,0,0,0,66,66,64,64,0.772727272727273,0.666666666666667,0.867647058823529,reportable
1,confirmatory,1,cluster70,5,esm2-35m,0,accuracy,1,1,2,64,64,63,63,0.765625,0.656113591269841,0.865855247571664,reportable
1,confirmatory,1,cluster70,5,esm2-35m,0,accuracy,2,3,5,61,61,61,61,0.754098360655738,0.639344262295082,0.852459016393443,reportable
1,confirmatory,1,cluster70,5,esm2-35m,0,accuracy,3,5,7,59,59,59,59,0.76271186440678,0.661016949152542,0.864406779661017,reportable
1,confirmatory,1,cluster70,5,esm2-35m,1,balanced_accuracy,0,0,0,66,66,64,64,0.72302218853943,0.583691410928253,0.840607473491094,reportable
1,confirmatory,1,cluster70,5,esm2-35m,1,balanced_accuracy,1,1,2,64,64,63,63,0.716672982190224,0.578831721720309,0.841335325964358,reportable
1,confirmatory,1,cluster70,5,esm2-35m,1,balanced_accuracy,2,3,5,61,61,61,61,0.71037851037851,0.564382648601399,0.845013888888889,reportable
1,confirmatory,1,cluster70,5,esm2-35m,1,balanced_accuracy,3,5,7,59,59,59,59,0.714574314574315,0.566809523809524,0.858229967159277,reportable
1,confirmatory,1,cluster70,5,esm2-35m,2,macro_f1,0,0,0,66,66,64,64,0.734841502583438,0.579241906055398,0.842715864628908,reportable
1,confirmatory,1,cluster70,5,esm2-35m,2,macro_f1,1,1,2,64,64,63,63,0.722720290462226,0.555520512820513,0.838615309962979,reportable
1,confirmatory,1,cluster70,5,esm2-35m,2,macro_f1,2,3,5,61,61,61,61,0.712162263024332,0.550981406355646,0.831225964094385,reportable
1,confirmatory,1,cluster70,5,esm2-35m,2,macro_f1,3,5,7,59,59,59,59,0.716979949874687,0.545564155486756,0.841846712839048,reportable
1,confirmatory,1,cluster70,6,esm2-150m,0,accuracy,0,0,0,66,66,64,64,0.848484848484849,0.753846153846154,0.927562111801242,reportable
1,confirmatory,1,cluster70,6,esm2-150m,0,accuracy,1,1,2,64,64,63,63,0.84375,0.749900793650794,0.923076923076923,reportable
1,confirmatory,1,cluster70,6,esm2-150m,0,accuracy,2,3,5,61,61,61,61,0.836065573770492,0.737704918032787,0.918032786885246,reportable
1,confirmatory,1,cluster70,6,esm2-150m,0,accuracy,3,5,7,59,59,59,59,0.847457627118644,0.745762711864407,0.932203389830508,reportable
1,confirmatory,1,cluster70,6,esm2-150m,1,balanced_accuracy,0,0,0,66,66,64,64,0.789318344490758,0.665043590668591,0.898312003968254,reportable
1,confirmatory,1,cluster70,6,esm2-150m,1,balanced_accuracy,1,1,2,64,64,63,63,0.776619931792346,0.642719696969697,0.895913194444444,reportable
1,confirmatory,1,cluster70,6,esm2-150m,1,balanced_accuracy,2,3,5,61,61,61,61,0.766585266585267,0.627011243386243,0.895864221364221,reportable
1,confirmatory,1,cluster70,6,esm2-150m,1,balanced_accuracy,3,5,7,59,59,59,59,0.779172679172679,0.639197940947941,0.902528103616813,reportable
1,confirmatory,1,cluster70,6,esm2-150m,2,macro_f1,0,0,0,66,66,64,64,0.807065329357549,0.672311688037284,0.907782256147816,reportable
1,confirmatory,1,cluster70,6,esm2-150m,2,macro_f1,1,1,2,64,64,63,63,0.796205600850762,0.656402619357831,0.902541505063564,reportable
1,confirmatory,1,cluster70,6,esm2-150m,2,macro_f1,2,3,5,61,61,61,61,0.786479175996417,0.630795904430104,0.894173611111111,reportable
1,confirmatory,1,cluster70,6,esm2-150m,2,macro_f1,3,5,7,59,59,59,59,0.79544315333789,0.647469720638392,0.896617976053011,reportable
1,confirmatory,2,cluster50,0,majority,0,accuracy,0,0,0,66,66,59,59,0.439393939393939,0.313432835820896,0.578125,reportable
1,confirmatory,2,cluster50,0,majority,0,accuracy,1,1,2,64,64,58,58,0.453125,0.323518099547511,0.593233580508475,reportable
1,confirmatory,2,cluster50,0,majority,0,accuracy,2,3,6,60,60,56,56,0.45,0.323064516129032,0.586206896551724,reportable
1,confirmatory,2,cluster50,0,majority,0,accuracy,3,5,10,56,56,54,54,0.482142857142857,0.351827485380117,0.625,reportable
1,confirmatory,2,cluster50,0,majority,1,balanced_accuracy,0,0,0,66,66,59,59,0.2,0.2,0.2,reportable
1,confirmatory,2,cluster50,0,majority,1,balanced_accuracy,1,1,2,64,64,58,58,0.2,0.2,0.2,reportable
1,confirmatory,2,cluster50,0,majority,1,balanced_accuracy,2,3,6,60,60,56,56,0.2,0.2,0.2,reportable
1,confirmatory,2,cluster50,0,majority,1,balanced_accuracy,3,5,10,56,56,54,54,0.2,0.2,0.2,reportable
