interval_family,split,method,method_a,method_b,metric,point_estimate,lower,upper,group_count,seed,iterations,valid_iterations,confidence_level,domain,interval_method,resampling
method_comparison,cluster70,,esm2_150m,kmer3_logistic,balanced_accuracy,0.37577259904846116,0.22982152330428191,0.52477304639804634,64,2026,2000,2000,0.94999999999999996,paired:cluster70:balanced_accuracy:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,cluster70,,esm2_150m,esm2_35m,macro_f1,0.072223826774111433,-0.0091539424589260066,0.16626360172634169,64,2026,2000,2000,0.94999999999999996,paired:cluster70:macro_f1:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster70,,esm2_150m,esm2_35m,balanced_accuracy,0.066296155951328428,-0.020005275974025995,0.15586607142857117,64,2026,2000,2000,0.94999999999999996,paired:cluster70:balanced_accuracy:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster50,,esm2_35m,aac_logistic,macro_f1,0.51092451422864438,0.33040643105947332,0.66163186377882055,59,2026,2000,2000,0.94999999999999996,paired:cluster50:macro_f1:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster50,,esm2_35m,aac_logistic,balanced_accuracy,0.46354574544229721,0.26426511419614868,0.61952380952380959,59,2026,2000,2000,0.94999999999999996,paired:cluster50:balanced_accuracy:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster50,,esm2_35m,kmer3_logistic,macro_f1,0.47073312592494176,0.3253586706122229,0.6216159788695258,59,2026,2000,2000,0.94999999999999996,paired:cluster50:macro_f1:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster50,,esm2_35m,kmer3_logistic,balanced_accuracy,0.44073407435476414,0.27972794946988488,0.58619126984127001,59,2026,2000,2000,0.94999999999999996,paired:cluster50:balanced_accuracy:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster50,,esm2_150m,aac_logistic,macro_f1,0.4948246145919295,0.33791567149720436,0.63918828704111419,59,2026,2000,2000,0.94999999999999996,paired:cluster50:macro_f1:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster50,,esm2_150m,aac_logistic,balanced_accuracy,0.4624184244873899,0.27715963203463218,0.6371527883880822,59,2026,2000,2000,0.94999999999999996,paired:cluster50:balanced_accuracy:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster50,,esm2_150m,kmer3_logistic,macro_f1,0.45463322628822689,0.30539974143700849,0.61025888975554732,59,2026,2000,2000,0.94999999999999996,paired:cluster50:macro_f1:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,cluster50,,esm2_150m,kmer3_logistic,balanced_accuracy,0.43960675339985683,0.27584704184704173,0.60178558696205742,59,2026,2000,2000,0.94999999999999996,paired:cluster50:balanced_accuracy:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,cluster50,,esm2_150m,esm2_35m,macro_f1,-0.016099899636714876,-0.12413920150336746,0.12737531353922346,59,2026,2000,2000,0.94999999999999996,paired:cluster50:macro_f1:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster50,,esm2_150m,esm2_35m,balanced_accuracy,-0.0011273209549073071,-0.11001190476190485,0.13333333333333319,59,2026,2000,2000,0.94999999999999996,paired:cluster50:balanced_accuracy:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster30,,esm2_35m,aac_logistic,macro_f1,0.46740923644344884,0.28668580157796286,0.62287108660173673,60,2026,2000,2000,0.94999999999999996,paired:cluster30:macro_f1:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster30,,esm2_35m,aac_logistic,balanced_accuracy,0.46557513367858183,0.27116822854237033,0.6356290726817041,60,2026,2000,2000,0.94999999999999996,paired:cluster30:balanced_accuracy:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster30,,esm2_35m,kmer3_logistic,macro_f1,0.324548519891805,0.15168066204528366,0.48518168277118839,60,2026,2000,2000,0.94999999999999996,paired:cluster30:macro_f1:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster30,,esm2_35m,kmer3_logistic,balanced_accuracy,0.29016462464738318,0.13042877252252252,0.45009169996669995,60,2026,2000,2000,0.94999999999999996,paired:cluster30:balanced_accuracy:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster30,,esm2_150m,aac_logistic,macro_f1,0.53430487984667563,0.3330114973021206,0.68724395222633528,60,2026,2000,2000,0.94999999999999996,paired:cluster30:macro_f1:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster30,,esm2_150m,aac_logistic,balanced_accuracy,0.54719696012799468,0.33852904040404047,0.70868054177574302,60,2026,2000,2000,0.94999999999999996,paired:cluster30:balanced_accuracy:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster30,,esm2_150m,kmer3_logistic,macro_f1,0.39144416329503184,0.22056225297101664,0.54241914161772842,60,2026,2000,2000,0.94999999999999996,paired:cluster30:macro_f1:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,cluster30,,esm2_150m,kmer3_logistic,balanced_accuracy,0.37178645109679603,0.20138631753641906,0.52246874999999982,60,2026,2000,2000,0.94999999999999996,paired:cluster30:balanced_accuracy:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,cluster30,,esm2_150m,esm2_35m,macro_f1,0.066895643403226845,-0.041770219466336557,0.1662482863696729,60,2026,2000,2000,0.94999999999999996,paired:cluster30:macro_f1:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster30,,esm2_150m,esm2_35m,balanced_accuracy,0.081621826449412849,-0.0039660753190165236,0.17185669262143122,60,2026,2000,2000,0.94999999999999996,paired:cluster30:balanced_accuracy:esm2_150m:esm2_35m,percentile,paired
generalization_gap,cluster70,majority,,,macro_f1,0,-0.033030992408734756,0.033865231990231955,64,2026,2000,2000,0.94999999999999996,generalization:majority:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,majority,,,macro_f1,0,-0.036228869768855136,0.035992935226079145,59,2026,2000,2000,0.94999999999999996,generalization:majority:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,majority,,,macro_f1,0,-0.035839628036222468,0.037329441737602262,60,2026,2000,2000,0.94999999999999996,generalization:majority:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,length_logistic,,,macro_f1,0.028292416803055109,-0.094816262721305652,0.13479944643213093,64,2026,2000,2000,0.94999999999999996,generalization:length_logistic:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,length_logistic,,,macro_f1,0.022942368690033632,-0.10659479026720406,0.14832211469016307,59,2026,2000,2000,0.94999999999999996,generalization:length_logistic:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,length_logistic,,,macro_f1,-0.0186965941859559,-0.15170193948934238,0.11460236964836579,60,2026,2000,2000,0.94999999999999996,generalization:length_logistic:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,aac_logistic,,,macro_f1,-0.10631058164892751,-0.25823687894976799,0.048355146832815873,64,2026,2000,2000,0.94999999999999996,generalization:aac_logistic:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,aac_logistic,,,macro_f1,-0.1126723184438185,-0.25834769132582897,0.056915919623112564,59,2026,2000,2000,0.94999999999999996,generalization:aac_logistic:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,aac_logistic,,,macro_f1,-0.0093586525519298303,-0.13508103960882595,0.12164809521853456,60,2026,2000,2000,0.94999999999999996,generalization:aac_logistic:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,kmer3_logistic,,,macro_f1,-0.06002758672919245,-0.22078440996183726,0.12833601857578822,64,2026,2000,2000,0.94999999999999996,generalization:kmer3_logistic:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,kmer3_logistic,,,macro_f1,-0.03163870153084436,-0.19465250705902712,0.15779803548795607,59,2026,2000,2000,0.94999999999999996,generalization:kmer3_logistic:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,kmer3_logistic,,,macro_f1,-0.030994363886896914,-0.1885634120235396,0.13513939700923047,60,2026,2000,2000,0.94999999999999996,generalization:kmer3_logistic:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,nearest_homolog,,,macro_f1,-0.092912371865860155,-0.24516038101747842,0.080925022160275417,64,2026,2000,2000,0.94999999999999996,generalization:nearest_homolog:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,nearest_homolog,,,macro_f1,-0.1738108938762904,-0.34205487976076199,0.046417156089059497,59,2026,2000,2000,0.94999999999999996,generalization:nearest_homolog:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,nearest_homolog,,,macro_f1,0.062324420056325047,-0.08968545049384942,0.19356333283536034,60,2026,2000,2000,0.94999999999999996,generalization:nearest_homolog:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,esm2_35m,,,macro_f1,0.062430904858460923,-0.096085637423447876,0.2456065273241976,64,2026,2000,2000,0.94999999999999996,generalization:esm2_35m:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,esm2_35m,,,macro_f1,-0.062680058392919791,-0.22172595639723608,0.13155830787011807,59,2026,2000,2000,0.94999999999999996,generalization:esm2_35m:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,esm2_35m,,,macro_f1,0.084148885284164421,-0.091386893879540965,0.27133001069183826,60,2026,2000,2000,0.94999999999999996,generalization:esm2_35m:random:cluster30:macro_f1,percentile,independent
generalization_gap,cluster70,esm2_150m,,,macro_f1,-0.02341453570675589,-0.19532757101166692,0.12364257261732424,64,2026,2000,2000,0.94999999999999996,generalization:esm2_150m:random:cluster70:macro_f1,percentile,independent
generalization_gap,cluster50,esm2_150m,,,macro_f1,-0.060201772547310295,-0.21374129477625603,0.10997855500112733,59,2026,2000,2000,0.94999999999999996,generalization:esm2_150m:random:cluster50:macro_f1,percentile,independent
generalization_gap,cluster30,esm2_150m,,,macro_f1,0.0036316280898321951,-0.15755131429028493,0.19465153904259988,60,2026,2000,2000,0.94999999999999996,generalization:esm2_150m:random:cluster30:macro_f1,percentile,independent
